level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	25	1	1	10	489	1169	44	13	96.786041	team
5	1	25	1	1	11	541	1168	45	18	96.374275	days,
5	1	25	1	1	12	595	1169	73	17	96.431763	strategy
2	1	26	0	0	0	59	1200	356	18	-1	
3	1	26	1	0	0	59	1200	356	18	-1	
4	1	26	1	1	0	59	1200	356	18	-1	
5	1	26	1	1	1	59	1200	54	14	96.896576	weeks
5	1	26	1	1	2	121	1200	32	14	96.546143	and
5	1	26	1	1	3	162	1201	62	17	96.367241	patient
5	1	26	1	1	4	231	1201	113	17	96.415398	engagement
5	1	26	1	1	5	351	1201	64	13	96.557526	events.
2	1	27	0	0	0	346	1301	268	18	-1	
3	1	27	1	0	0	346	1301	268	18	-1	
4	1	27	1	1	0	346	1301	268	18	-1	
5	1	27	1	1	1	346	1301	268	18	92.473549	rarerevolutionmagazine/shop/
