level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	23	0	0	0	706	635	17	14	-1	
3	1	23	1	0	0	706	635	17	14	-1	
4	1	23	1	1	0	706	635	17	14	-1	
5	1	23	1	1	1	706	635	17	14	7.545547	ss
2	1	24	0	0	0	1089	616	240	19	-1	
3	1	24	1	0	0	1089	616	240	19	-1	
4	1	24	1	1	0	1089	616	240	19	-1	
5	1	24	1	1	1	1089	616	72	19	96.980049	Flexible
5	1	24	1	1	2	1169	616	160	19	96.699974	month-to-month
2	1	25	0	0	0	1469	616	230	23	-1	
3	1	25	1	0	0	1469	616	230	23	-1	
4	1	25	1	1	0	1469	616	230	23	-1	
5	1	25	1	1	1	1469	616	45	19	96.337753	Save
5	1	25	1	1	2	1521	616	40	18	96.942238	with
5	1	25	1	1	3	1569	616	65	18	96.338394	annual
5	1	25	1	1	4	1642	616	57	23	96.751358	billing
2	1	26	0	0	0	1389	666	11	9	-1	
3	1	26	1	0	0	1389	666	11	9	-1	
4	1	26	1	1	0	1389	666	11	9	-1	
5	1	26	1	1	1	1389	666	11	9	4.069099	fF
2	1	27	0	0	0	1430	665	11	10	-1	
3	1	27	1	0	0	1430	665	11	10	-1	
4	1	27	1	1	0	1430	665	11	10	-1	
5	1	27	1	1	1	1430	665	11	10	40.587673	Ss
2	1	28	0	0	0	1808	663	11	12	-1	
3	1	28	1	0	0	1808	663	11	12	-1	
4	1	28	1	1	0	1808	663	11	12	-1	
5	1	28	1	1	1	1808	663	11	12	26.007584	Es
2	1	29	0	0	0	82	680	313	58	-1	
3	1	29	1	0	0	82	680	313	58	-1	
4	1	29	1	1	0	82	680	313	58	-1	
5	1	29	1	1	1	82	680	238	58	95.927177	Straight
5	1	29	1	1	2	339	685	56	53	96.624542	to
2	1	30	0	0	0	81	754	378	56	-1	
3	1	30	1	0	0	81	754	378	56	-1	
4	1	30	1	1	0	81	754	378	56	-1	
5	1	30	1	1	1	81	754	140	56	96.772980	what
5	1	30	1	1	2	243	759	216	51	96.453995	matters
2	1	31	0	0	0	611	784	9	34	-1	
3	1	31	1	0	0	611	784	9	34	-1	
4	1	31	1	1	0	611	784	9	34	-1	
5	1	31	1	1	1	611	784	9	34	54.851433	i
2	1	32	0	0	0	1130	816	291	16	-1	
3	1	32	1	0	0	1130	816	291	16	-1	
4	1	32	1	1	0	1130	816	291	16	-1	
5	1	32	1	1	1	1130	816	57	15	96.207977	WHAT
5	1	32	1	1	2	1195	816	129	16	93.292595	MEMBERSHIP
5	1	32	1	1	3	1332	816	89	15	93.021294	UNLOCKS
2	1	33	0	0	0	81	855	66	4	-1	
3	1	33	1	0	0	81	855	66	4	-1	
4	1	33	1	1	0	81	855	66	4	-1	
5	1	33	1	1	1	81	855	66	4	54.421864	—
2	1	34	0	0	0	1130	853	103	19	-1	
3	1	34	1	0	0	1130	853	103	19	-1	
